City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Lagoa,39.05,-27.9833,68.45,84,96,16.6,PT,1627177625
Mar del Plata,-38.0023,-57.5575,52.88,60,90,13.0,AR,1627177625
Naze,28.3667,129.4833,81.52,90,100,20.8,JP,1627177625
Atuona,-9.8,-139.0333,78.39,70,16,17.27,PF,1627177536
Chhātāpur,26.2167,87.0167,83.8,80,53,6.98,IN,1627177626
Maragogi,-9.0122,-35.2225,74.19,84,85,15.86,BR,1627177626
Port Elizabeth,-33.918,25.5701,44.89,76,0,2.3,ZA,1627177627
Busselton,-33.65,115.3333,62.04,67,94,18.52,AU,1627177627
Praia da Vitória,38.7333,-27.0667,71.85,83,40,15.68,PT,1627177627
Zhalantun,48.0,122.7167,78.82,56,27,4.09,CN,1627177628
Revelstoke,50.9832,-118.2023,80.62,47,90,0.0,CA,1627177344
Blagoyevo,63.3667,47.9167,45.81,93,100,5.44,RU,1627177628
Morón,-34.6534,-58.6198,59.0,97,100,4.0,AR,1627177356
Arraial do Cabo,-22.9661,-42.0278,69.71,76,0,23.2,BR,1627177629
Gashua,12.871,11.0482,79.36,67,60,11.07,NG,1627177629
Praia,14.9215,-23.5087,75.74,69,75,6.91,CV,1627177616
Lovozero,68.005,35.0117,43.52,90,100,18.45,RU,1627177566
Fandriana,-20.2333,47.3833,50.47,98,100,3.47,MG,1627177630
Haines Junction,60.7522,-137.5108,60.75,51,100,5.75,CA,1627177631
Zhengjiatun,43.5064,123.5064,86.31,54,99,16.64,CN,1627177631
Samarai,-10.6167,150.6667,80.04,83,97,14.83,PG,1627177631
Falam,22.9167,93.6833,67.82,87,100,2.82,MM,1627177632
Fairbanks,64.8378,-147.7164,68.02,60,90,1.99,US,1627177615
Guerrero Negro,27.9769,-114.0611,70.34,80,100,15.08,MX,1627177632
Palmer,42.1584,-72.3287,72.21,70,100,4.56,US,1627177633
Nova Olímpia,-14.7972,-57.2881,74.8,44,0,4.36,BR,1627177633
Karachev,53.1229,34.9852,58.89,63,99,3.62,RU,1627177633
Pringsewu,-5.3582,104.9744,82.13,75,1,1.34,ID,1627177634
Comodoro Rivadavia,-45.8667,-67.5,44.46,57,0,4.61,AR,1627177362
Pacific Grove,36.6177,-121.9166,84.97,83,20,1.99,US,1627177530
Meulaboh,4.1363,96.1285,80.38,74,96,3.24,ID,1627177635
Kavieng,-2.5744,150.7967,84.24,71,11,7.76,PG,1627177635
Shingū,33.7333,135.9833,85.19,69,100,8.99,JP,1627177635
Lagos,6.5833,3.75,77.32,86,3,3.09,NG,1627177636
Chokurdakh,70.6333,147.9167,52.05,49,85,13.53,RU,1627177636
Thompson,55.7435,-97.8558,60.96,94,90,8.05,CA,1627177636
Najrān,17.4924,44.1277,79.45,44,9,3.47,SA,1627177637
Shenjiamen,29.9576,122.298,78.89,93,100,32.23,CN,1627177637
Paita,-5.0892,-81.1144,65.26,85,39,8.28,PE,1627177637
Husavik,66.0449,-17.3389,55.31,89,69,3.29,IS,1627177638
Huarmey,-10.0681,-78.1522,64.02,84,71,5.35,PE,1627177638
Uthal,25.8072,66.6219,83.59,82,51,5.17,PK,1627177639
Carutapera,-1.195,-46.02,74.07,92,91,2.86,BR,1627177639
Khatanga,71.9667,102.5,60.1,47,85,22.55,RU,1627177640
Sawtell,-30.3833,153.1,68.02,33,2,4.61,AU,1627177640
Boddam,57.4667,-1.7833,51.71,89,3,9.01,GB,1627177640
Alofi,-19.0595,-169.9187,82.29,74,14,8.05,NU,1627177641
Bathsheba,13.2167,-59.5167,79.41,83,40,4.61,BB,1627177641
Muros,42.7762,-9.0603,63.23,93,86,3.71,ES,1627177641
Katsuura,35.1333,140.3,87.91,69,1,12.75,JP,1627177642
Fortuna,40.5982,-124.1573,61.86,85,90,1.99,US,1627177642
Abu Dhabi,24.4667,54.3667,96.91,59,77,3.44,AE,1627177643
Tuatapere,-46.1333,167.6833,50.83,63,100,7.27,NZ,1627177643
Bredasdorp,-34.5322,20.0403,40.32,93,97,5.75,ZA,1627177643
Avarua,-21.2078,-159.775,78.85,65,20,11.5,CK,1627177644
Masuguru,-11.3667,38.4167,65.79,54,3,9.44,TZ,1627177644
Kabinda,-6.1333,24.4833,65.14,40,6,5.28,CD,1627177645
La Macarena,2.1837,-73.7849,71.15,88,100,0.78,CO,1627177645
Kruisfontein,-34.0033,24.7314,46.51,39,14,8.88,ZA,1627177646
Kalmunai,7.4167,81.8167,81.01,72,100,9.57,LK,1627177646
Doka,13.5167,35.7667,67.93,98,100,6.15,SD,1627177646
Venado Tuerto,-33.7456,-61.9688,52.79,94,98,6.93,AR,1627177647
Hīt,33.6416,42.8251,91.69,26,0,8.55,IQ,1627177647
Osa,57.2829,55.4567,50.61,79,2,3.58,RU,1627177648
Faya,18.3851,42.4509,64.51,79,52,3.8,SA,1627177648
Province of Mantua,45.1667,10.7833,76.15,83,16,6.78,IT,1627177648
Cidreira,-30.1811,-50.2056,61.3,78,24,7.61,BR,1627177649
Warburg,51.5,9.1667,63.23,94,10,5.1,DE,1627177649
Yar-Sale,66.8333,70.8333,57.83,75,6,11.95,RU,1627177649
Hearst,49.6835,-83.6665,66.45,97,11,5.01,CA,1627177650
Yamada,39.4667,141.95,81.39,70,31,8.9,JP,1627177650
Bekhtery,46.251,32.2927,61.23,54,0,7.23,UA,1627177651
Japura,-0.3167,102.35,83.37,64,73,5.64,ID,1627177651
Rāzole,16.4833,81.8333,82.69,76,100,8.75,IN,1627177638
São Filipe,14.8961,-24.4956,73.92,74,23,5.68,CV,1627177651
Lindsay,36.203,-119.0882,100.81,18,1,8.05,US,1627177652
Dunedin,-45.8742,170.5036,46.8,56,100,17.0,NZ,1627177652
Torbay,47.6666,-52.7314,58.57,89,90,13.8,CA,1627177653
Noumea,-22.2763,166.4572,82.38,99,2,8.37,NC,1627177653
Tumut,-35.3,148.2167,43.79,90,100,15.19,AU,1627177653
Samaná,19.2056,-69.3369,78.03,92,98,4.68,DO,1627177654
Korla,41.7597,86.1469,89.26,23,0,18.28,CN,1627177630
Rio Grande,-32.035,-52.0986,60.51,79,98,8.9,BR,1627177482
Saint Anthony,45.0205,-93.218,84.22,35,1,1.01,US,1627177517
Itarema,-2.9248,-39.9167,76.1,80,3,10.83,BR,1627177655
Port Hardy,50.6996,-127.4199,62.78,82,75,8.05,CA,1627177583
Punta de Piedra,7.6176,-71.4916,72.73,96,100,1.72,VE,1627177655
Eureka,40.8021,-124.1637,63.12,82,29,3.0,US,1627177564
Brigantine,39.4101,-74.3646,75.99,74,1,6.91,US,1627177656
Homer,59.6425,-151.5483,63.09,82,20,12.66,US,1627177464
Adré,13.4667,22.2,72.73,76,100,2.82,TD,1627177656
Nyandoma,61.669,40.1991,52.0,70,100,6.08,RU,1627177657
Hambantota,6.1241,81.1185,79.14,100,75,11.5,LK,1627177657
Prainha,-1.8,-53.48,77.99,67,100,3.11,BR,1627177658
Guanajuato City,21.0186,-101.2591,67.62,61,88,7.56,MX,1627177494
Dikson,73.5069,80.5464,37.11,98,79,8.95,RU,1627177658
Tupã,-21.9347,-50.5136,61.93,35,0,6.42,BR,1627177659
Altay,47.8667,88.1167,74.86,41,3,4.68,CN,1627177659
Tilichiki,60.4667,166.1,57.9,81,100,6.11,RU,1627177660
Marale,14.8833,-87.15,70.88,86,86,4.63,HN,1627177660
Esso,55.9333,158.7,69.44,67,94,1.36,RU,1627177661
Linfen,36.0889,111.5189,83.1,59,8,3.38,CN,1627177661
Olafsvik,64.8945,-23.7142,49.66,78,95,9.66,IS,1627177662
Bonthe,7.5264,-12.505,76.17,84,100,7.96,SL,1627177542
Khvalynsk,52.4906,48.1058,57.33,84,6,7.58,RU,1627177662
Nanortalik,60.1432,-45.2371,42.66,95,97,9.95,GL,1627177663
Sal Rei,16.1833,-22.9167,73.27,76,36,8.84,CV,1627177663
Mongu,-15.2484,23.1274,53.35,79,0,9.44,ZM,1627177663
Orlik,52.5178,99.825,66.07,66,100,0.78,RU,1627177664
Hokitika,-42.7167,170.9667,49.46,83,100,8.43,NZ,1627177664
Vredendal,-31.6683,18.5012,55.31,20,100,12.71,ZA,1627177664
Nome,64.5011,-165.4064,50.16,87,90,11.5,US,1627177665
Kīhei,20.785,-156.4656,87.82,79,40,26.46,US,1627177665
Yanta,36.2411,115.6672,87.01,60,0,5.75,CN,1627177666
Valdosta,30.8327,-83.2785,81.93,72,20,6.91,US,1627177579
Antalaha,-14.9003,50.2788,68.99,81,100,11.5,MG,1627177666
Vardø,70.3705,31.1107,46.26,85,97,25.64,NO,1627177667
Coyhaique,-45.5752,-72.0662,35.55,87,0,3.44,CL,1627177667
Maţāy,28.419,30.7792,76.26,60,0,10.16,EG,1627177668
Zhangaözen,43.3,52.8,77.95,58,7,15.7,KZ,1627177372
Finote Selam,10.7,37.2667,58.51,99,100,1.41,ET,1627177668
Chui,-33.6971,-53.4616,56.41,82,100,6.6,UY,1627177668
Carroll,39.5501,-77.0164,76.78,73,78,1.01,US,1627177669
Talnakh,69.4865,88.3972,49.1,91,100,4.85,RU,1627177669
High Rock,26.6208,-78.2833,83.1,71,8,11.03,BS,1627177670
Cibitoke Province,-2.8833,29.25,59.85,56,13,3.89,BI,1627177670
Praia,14.9215,-23.5087,75.74,69,75,6.91,CV,1627177590
The Valley,18.217,-63.0578,82.26,84,100,20.4,AI,1627177671
Kiama,-34.6833,150.8667,57.58,46,3,20.0,AU,1627177440
Qandala,11.472,49.8728,86.07,51,100,23.53,SO,1627177671
Cabo San Lucas,22.8909,-109.9124,91.81,68,51,8.99,MX,1627177392
Carnarvon,-24.8667,113.6333,62.67,58,90,11.5,AU,1627177672
Kahului,20.8947,-156.47,87.82,78,40,26.46,US,1627177672
Hârşova,44.6833,27.9333,62.08,69,0,4.16,RO,1627177672
Natal,-5.795,-35.2094,75.42,73,0,9.22,BR,1627177431
Aasiaat,68.7098,-52.8699,38.08,94,95,8.25,GL,1627177673
Henties Bay,-22.116,14.2845,67.86,26,0,12.66,NA,1627177673
Qaanaaq,77.484,-69.3632,39.13,66,100,3.76,GL,1627177674
Itapirapuã,-15.8233,-50.6133,69.84,39,0,4.61,BR,1627177674
Ribeira Grande,38.5167,-28.7,70.2,91,11,10.51,PT,1627177675
Glenwood Springs,39.5505,-107.3248,81.41,54,1,3.44,US,1627177675
Lüshunkou,38.8,121.2667,86.22,71,1,7.83,CN,1627177676
Castro,-24.7911,-50.0119,52.27,70,0,2.77,BR,1627177676
Cherskiy,68.75,161.3,56.32,54,69,6.35,RU,1627177676
Mahajanga,-15.7167,46.3167,59.02,88,0,0.0,MG,1627177677
Sivas Province,39.7916,37.0019,48.83,93,0,0.0,TR,1627177677
Manono,-7.3,27.4167,70.63,50,0,11.12,CD,1627177677
Qurayyat,31.3318,37.3428,75.38,57,0,4.61,SA,1627177678
Deputatsky,69.3,139.9,56.53,52,27,13.13,RU,1627177678
Nouakchott,18.0858,-15.9785,75.13,81,64,11.95,MR,1627177529
Ponta do Sol,32.6667,-17.1,73.0,77,0,2.82,PT,1627177679
Berlevåg,70.8578,29.0864,45.03,84,100,24.81,NO,1627177679
Havelock,34.8791,-76.9013,78.94,74,38,5.12,US,1627177528
La Ronge,55.1001,-105.2842,62.85,72,75,6.91,CA,1627177680
Palauig,15.435,119.9045,82.27,87,100,14.72,PH,1627177680
Sept-Îles,50.2001,-66.3821,61.32,93,75,3.0,CA,1627177681
Geraldton,-28.7667,114.6,61.12,82,90,8.05,AU,1627177681
Xinyang,32.1228,114.0656,82.98,79,31,8.08,CN,1627177681
Turukhansk,65.8167,87.9833,73.72,54,0,17.49,RU,1627177682
Jardim,-21.4803,-56.1381,70.48,44,0,3.56,BR,1627177682
Provideniya,64.3833,-173.3,47.89,98,100,13.06,RU,1627177682
Bose,45.4612,8.0137,69.73,98,100,4.16,IT,1627177683
Kaohsiung City,22.6163,120.3133,85.03,88,75,1.01,TW,1627177683
Lompoc,34.6391,-120.4579,79.02,76,75,14.97,US,1627177684
Walvis Bay,-22.9575,14.5053,68.09,7,0,18.41,NA,1627177684
Isla Vista,34.4133,-119.861,84.13,70,75,8.05,US,1627177685
Businga,3.3333,20.8833,70.16,94,74,1.19,CD,1627177685
Basco,20.4487,121.9702,83.35,85,100,31.54,PH,1627177685
Tual,-5.6667,132.75,80.24,74,98,9.8,ID,1627177686
Benghazi,32.1167,20.0667,78.75,72,0,13.11,LY,1627177686
Black Forest,39.0131,-104.7008,75.16,47,75,1.01,US,1627177687
Pachino,36.7186,15.0907,80.6,50,0,4.41,IT,1627177687
Longyearbyen,78.2186,15.6401,42.64,81,75,12.66,SJ,1627177687
Inhambane,-23.865,35.3833,65.26,58,100,10.85,MZ,1627177688
Custoias,41.1053,-7.321,55.11,86,83,4.03,PT,1627177688
Selma,36.5708,-119.6121,103.33,21,1,5.75,US,1627177689
Tura,25.5198,90.2201,79.0,90,89,6.58,IN,1627177689
Barcelos,41.5388,-8.6151,62.85,93,97,3.04,PT,1627177555
Moss Vale,-34.55,150.3833,50.32,56,30,17.69,AU,1627177689
Novoil'insk,51.6829,108.7143,73.83,44,0,2.24,RU,1627177690
Dossor,47.5272,52.9811,77.59,33,0,6.17,KZ,1627177690
Jalu,29.0331,21.5482,77.13,43,0,6.89,LY,1627177691
Saint-Philippe,-21.3585,55.7679,65.79,74,37,6.67,RE,1627177691
Laas,46.6166,10.7002,68.88,95,82,3.31,IT,1627177691
Rancho Palos Verdes,33.7445,-118.387,85.66,81,40,4.0,US,1627177692
Anadyr,64.75,177.4833,59.5,100,90,4.0,RU,1627177692
Mahon,39.8885,4.2658,77.56,73,0,19.57,ES,1627177692
Beringovskiy,63.05,179.3167,55.56,77,100,6.55,RU,1627177693
Dryden,49.7833,-92.7503,75.49,46,40,5.75,CA,1627177693
Port Blair,11.6667,92.75,82.44,89,75,11.5,IN,1627177694
Corinth,37.9407,22.9573,79.9,49,0,2.82,GR,1627177694
Port-Cartier,50.0334,-66.8654,61.02,94,100,3.69,CA,1627177694
Eydhafushi,5.1033,73.0708,82.08,75,100,11.3,MV,1627177695
Aransas Pass,27.9095,-97.15,84.97,83,1,11.01,US,1627177695
Krasnogorodskoye,56.8357,28.2822,52.25,75,2,3.29,RU,1627177695
Hornepayne,49.2138,-84.7705,65.46,57,5,6.93,CA,1627177696
Paarl,-33.7338,18.9752,50.18,34,100,5.19,ZA,1627177697
Togur,58.3631,82.8265,72.25,60,50,3.51,RU,1627177697
Nuuk,64.1835,-51.7216,41.61,87,92,8.05,GL,1627177697
Kaitangata,-46.2817,169.8464,49.93,61,94,9.44,NZ,1627177698
Boueni,-12.9025,45.0761,76.98,66,1,20.4,YT,1627177598
Ilulissat,69.2167,-51.1,42.82,87,90,5.75,GL,1627177698
Dimāpur,25.9,93.7333,81.0,84,100,3.22,IN,1627177419
Mariehamn,60.0973,19.9348,49.86,100,82,1.14,AX,1627177699
Aripuanã,-9.1667,-60.6333,75.83,50,30,1.32,BR,1627177699
Quatre Cocos,-20.2078,57.7625,69.91,74,71,15.55,MU,1627177699
Joshīmath,30.5667,79.5667,74.73,86,100,1.5,IN,1627177700
Avera,33.194,-82.5271,82.53,59,96,6.24,US,1627177700
Touros,-5.1989,-35.4608,74.3,80,0,15.28,BR,1627177701
Marakkanam,12.2,79.95,85.35,64,100,14.5,IN,1627177701
Sangar,63.9242,127.4739,76.5,40,2,11.68,RU,1627177701
Ulety,51.3572,112.4849,70.47,47,46,5.46,RU,1627177702
Udachny,66.4167,112.4,77.81,46,0,15.41,RU,1627177702
Sobolevo,54.4299,31.8996,52.72,87,0,4.41,RU,1627177703
San Patricio,28.017,-97.5169,88.21,71,2,12.62,US,1627177703
Madawaska,47.3561,-68.3288,70.9,74,1,1.14,US,1627177703
Warrington,53.3925,-2.5802,60.8,80,100,1.01,GB,1627177604
Cerqueira César,-23.0356,-49.1661,58.3,35,0,5.32,BR,1627177704
Aklavik,68.2191,-135.0107,72.43,52,83,12.21,CA,1627177533
Severka,56.8688,60.3015,56.64,93,89,8.25,RU,1627177705
Vostok,46.4856,135.8833,91.56,40,65,4.76,RU,1627177705
Klaksvík,62.2266,-6.589,50.92,97,54,9.4,FO,1627177705
Khuzdar,27.7384,66.6434,82.27,47,60,3.74,PK,1627177460
Kempele,64.9131,25.5034,57.22,94,0,5.75,FI,1627177706
Santa Cruz Cabrália,-16.2781,-39.0247,73.63,68,40,6.91,BR,1627177706
Adwa,14.1646,38.8955,59.61,94,93,4.16,ET,1627177707
Conceição do Araguaia,-8.2578,-49.2647,77.13,57,0,3.44,BR,1627177621
Hofn,64.2539,-15.2082,51.96,85,5,9.8,IS,1627177539
Mangan,27.5167,88.5333,79.57,84,89,1.52,IN,1627177707
Celestún,20.8667,-90.4,80.96,81,49,13.56,MX,1627177708
Cerritos,33.8583,-118.0648,88.48,72,1,5.99,US,1627177629
Quixadá,-4.9714,-39.0153,70.83,62,6,2.17,BR,1627177708
Krasnyy Yar,46.5331,48.3456,69.73,34,0,3.87,RU,1627177709
Gravdal,68.1214,13.5031,52.03,97,100,10.29,NO,1627177709
Sioux Lookout,50.1001,-91.917,75.58,53,75,5.75,CA,1627177709
La Serena,-29.9078,-71.2542,51.31,93,0,4.61,CL,1627177710
Río Gallegos,-51.6226,-69.2181,37.45,70,75,6.91,AR,1627177679
City of San Pedro,14.35,121.0167,81.16,93,90,2.3,PH,1627177710
Gravelbourg,49.8834,-106.5512,80.87,29,1,7.27,CA,1627177711
São José da Coroa Grande,-8.8978,-35.1478,74.57,83,91,16.06,BR,1627177711
Richards Bay,-28.783,32.0377,52.81,77,13,4.9,ZA,1627177712
Grindavik,63.8424,-22.4338,48.15,93,75,8.05,IS,1627177712
Iralaya,15.0,-83.2333,79.43,86,100,9.69,HN,1627177713
Calatayud,41.3535,-1.6432,75.78,63,0,2.89,ES,1627177713
Boshnyakovo,49.6333,142.1667,75.06,76,92,9.08,RU,1627177713
Kirensk,57.7853,108.1119,79.02,44,12,7.36,RU,1627177714
Ginir,7.1333,40.7,54.79,77,100,14.16,ET,1627177714
São Gabriel da Cachoeira,-0.1303,-67.0892,71.53,98,100,0.69,BR,1627177715
Chicama,-7.8447,-79.1469,64.94,80,36,3.4,PE,1627177715
Tabou,4.423,-7.3528,75.2,72,93,5.26,CI,1627177715
Kasongo-Lunda,-6.4667,16.8167,65.26,39,0,0.98,CD,1627177716
Hasaki,35.7333,140.8333,90.28,75,22,12.15,JP,1627177716
Covăsinţ,46.2,21.6,66.07,60,0,6.08,RO,1627177716
